draw,schedule,lr_large,lr_smr,boak_large,boak_smr,u,s,n_vendors,conv_full,ces_rho,dur_lambda,dur_z,x_ls,x_sl,advantage,smr_gw_share,boak_gap,lr_gap,p_2031,p_2032,p_2033,p_2034,p_2035,p_2036,p_2037,p_2038,p_2039,p_2040,p_2041,p_2042,p_2043,p_2044,p_2045,p_2046,p_2047,p_2048,p_2049,p_2050
1174,Abou-Jaoude mod,0.034145364108730106,0.15586565964902838,6838.104067065191,9599.500306450864,0.2970851396892298,0.5839051275312013,8,1,1.0,0.7678245193293793,-0.2594845949580615,0.0722885623414768,0.047275761502931765,0.001227094212605695,0.9670320613203659,2761.3962393856727,0.12172029554029827,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2128,Abou-Jaoude mod,0.042145636799285374,0.11631894702079937,5775.975265570806,9178.661521275735,0.8248119324523634,0.8889704028556719,4,0,1.0,0.8718460266639545,-0.8650000503492582,0.09113793601132268,0.04724125838483253,0.002173509075149904,0.9560427484271548,3402.686255704929,0.074173310221514,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3685,Abou-Jaoude mod,0.0879547312825042,0.13514021960690997,7045.080803870587,9517.09409297014,0.7311212735558419,0.6189214614422929,8,1,1.0,0.9733359018510306,-0.3210755474387336,0.24235925046511325,0.011481049295453594,0.0016475910865214605,0.9560427484271548,2472.013289099552,0.04718548832440578,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3821,Abou-Jaoude mod,0.06850701142013532,0.1531247401408099,5705.7511342991675,9074.786459528666,0.07100302602205343,0.5018191717175504,6,1,0.0,0.08899720065565542,-0.9352135804585016,0.23725339346720198,0.02217181574092687,0.0012566037976168287,0.9560427484271548,3369.035325229499,0.08461772872067458,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4734,Abou-Jaoude mod,0.03489475088756665,0.15305057362613816,6003.353653190984,9077.225826599897,0.5258288860446191,0.9642354532001642,8,0,1.0,0.35425288200800353,-0.8092626639681831,0.12103813003119972,0.12495871812792027,0.0011651938879899681,0.9560427484271548,3073.872173408913,0.11815582273857152,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7276,Abou-Jaoude mod,0.0772943917389877,0.15569785202770708,5918.206029239226,8347.294016199572,0.8073150822789691,0.6103239691128616,5,1,1.0,0.6569244458529165,-0.704522440439186,0.04182201858937148,0.09182490061932738,0.0014059217932868018,0.9588224259339276,2429.087986960346,0.07840346028871939,0.0,0.0,0.0,0.6264718519612889,0.6264718519612889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
