rho_boak,P(SMR starts cheaper),P(mixed wins > 0.1%),closest margin,median margin
0.0,0.228,0.0,0.005018559891340146,0.027979710272844627
0.5,0.133,0.0,0.0047335719460299686,0.0265769058336488
0.9,0.018,0.0,0.004543318073585212,0.026534356682284765
1.0,0.0,0.0,0.0036348884944463755,0.02589229675467275
