case,t,i_headline,B_t_2024B_per_yr,transfer_share,PV_weight_years
smr100_mck_p95,2044,0.877,47.56,0.162,3
smr100_mck_p95,2047,0.894,49.72,0.313,3
smr100_mck_p95,2050,0.923,58.48,0.311,3
smr100_cop28_p05,2031,0.631,14.71,0.368,2
smr100_cop28_p05,2032,0.431,15.5,0.503,1
smr100_cop28_p05,2033,0.461,13.73,0.254,1
smr100_cop28_p05,2034,0.352,9.52,0.301,1
smr100_cop28_p05,2035,0.279,6.98,0.336,1
smr100_cop28_p05,2038,0.154,1.62,0.735,3
smr100_cop28_p05,2041,0.139,3.2,0.738,3
smr100_cop28_p05,2044,0.126,4.69,0.991,3
smr100_cop28_p05,2047,0.115,3.93,0.976,3
smr100_cop28_p05,2050,0.227,7.48,0.898,3
smr100_cop28_p50,2031,0.838,27.53,0.313,2
smr100_cop28_p50,2032,0.717,37.87,0.336,1
smr100_cop28_p50,2033,0.78,35.03,0.181,1
smr100_cop28_p50,2034,0.726,30.33,0.125,1
smr100_cop28_p50,2035,0.704,27.73,0.193,1
smr100_cop28_p50,2038,0.659,10.75,0.385,3
smr100_cop28_p50,2041,0.667,24.42,0.381,3
smr100_cop28_p50,2044,0.707,47.04,0.385,3
smr100_cop28_p50,2047,0.739,46.23,0.355,3
smr100_cop28_p50,2050,0.818,50.25,0.346,3
smr100_cop28_p95,2031,0.927,34.67,0.326,2
smr100_cop28_p95,2032,0.859,61.81,0.303,1
smr100_cop28_p95,2033,0.925,60.92,0.115,1
smr100_cop28_p95,2034,0.904,57.57,0.115,1
smr100_cop28_p95,2035,0.896,54.98,0.116,1
smr100_cop28_p95,2038,0.882,22.2,0.335,3
smr100_cop28_p95,2041,0.89,52.3,0.318,3
smr100_cop28_p95,2044,0.92,102.77,0.32,3
smr100_cop28_p95,2047,0.966,102.3,0.304,3
smr100_cop28_p95,2050,1.004,108.23,0.297,3
smr100_eo_p05,2031,0.628,20.33,0.394,2
smr100_eo_p05,2032,0.398,18.88,0.573,1
smr100_eo_p05,2033,0.439,17.38,0.269,1
smr100_eo_p05,2034,0.338,12.15,0.317,1
smr100_eo_p05,2035,0.265,8.88,0.368,1
smr100_eo_p05,2038,0.158,4.63,0.919,3
smr100_eo_p05,2041,0.119,4.33,0.84,3
smr100_eo_p05,2044,0.204,9.18,0.948,3
smr100_eo_p05,2047,0.277,11.45,0.839,3
smr100_eo_p05,2050,0.355,14.25,0.713,3
smr100_eo_p50,2031,0.7,24.78,0.362,2
smr100_eo_p50,2032,0.592,37.64,0.409,1
smr100_eo_p50,2033,0.675,39.37,0.202,1
smr100_eo_p50,2034,0.646,36.84,0.2,1
smr100_eo_p50,2035,0.626,34.46,0.141,1
smr100_eo_p50,2038,0.63,33.47,0.431,3
smr100_eo_p50,2041,0.642,44.54,0.411,3
smr100_eo_p50,2044,0.714,70.24,0.387,3
smr100_eo_p50,2047,0.773,74.82,0.353,3
smr100_eo_p50,2050,0.818,80.11,0.35,3
smr100_eo_p95,2031,0.937,49.07,0.328,2
smr100_eo_p95,2032,0.848,80.39,0.304,1
smr100_eo_p95,2033,0.923,79.77,0.163,1
smr100_eo_p95,2034,0.911,76.39,0.114,1
smr100_eo_p95,2035,0.899,72.97,0.116,1
smr100_eo_p95,2038,0.911,70.59,0.325,3
smr100_eo_p95,2041,0.926,94.19,0.313,3
smr100_eo_p95,2044,0.977,140.91,0.304,3
smr100_eo_p95,2047,1.019,144.24,0.291,3
smr100_eo_p95,2050,1.055,150.74,0.289,3
large100_eia_p50,2038,0.773,17.56,0.371,3
large100_eia_p50,2041,0.706,11.74,0.286,3
large100_eia_p50,2044,0.645,0.35,0.001,3
large100_eia_p50,2047,0.578,0.33,0.029,3
large100_eia_p50,2050,0.625,4.36,0.128,3
large100_aj_p50,2031,0.735,1.76,0.28,2
large100_aj_p50,2032,0.532,1.96,0.0,1
large100_aj_p50,2033,0.807,2.33,0.11,1
large100_aj_p50,2034,0.788,2.21,0.085,1
large100_aj_p50,2035,0.724,2.11,0.0,1
large100_aj_p50,2038,0.781,5.74,0.083,3
large100_aj_p50,2041,0.751,7.05,0.296,3
large100_aj_p50,2044,0.704,8.39,0.276,3
large100_aj_p50,2047,0.702,13.11,0.284,3
large100_aj_p50,2050,0.755,19.38,0.306,3
large100_iaea_p50,2031,0.808,11.48,0.296,2
large100_iaea_p50,2032,0.77,20.32,0.301,1
large100_iaea_p50,2033,0.82,19.16,0.121,1
large100_iaea_p50,2034,0.795,17.99,0.104,1
large100_iaea_p50,2035,0.793,17.11,0.127,1
large100_iaea_p50,2038,0.766,15.43,0.379,3
large100_iaea_p50,2041,0.713,15.58,0.3,3
large100_iaea_p50,2044,0.732,15.7,0.351,3
large100_iaea_p50,2047,0.696,14.71,0.309,3
large100_iaea_p50,2050,0.74,18.03,0.317,3
large100_mck_p50,2031,0.812,12.12,0.295,2
large100_mck_p50,2032,0.773,21.42,0.3,1
large100_mck_p50,2033,0.825,20.3,0.12,1
large100_mck_p50,2034,0.79,18.96,0.12,1
large100_mck_p50,2035,0.789,18.15,0.126,1
large100_mck_p50,2038,0.768,16.82,0.375,3
large100_mck_p50,2041,0.765,22.11,0.328,3
large100_mck_p50,2044,0.771,29.15,0.355,3
large100_mck_p50,2047,0.775,28.77,0.338,3
large100_mck_p50,2050,0.789,31.72,0.317,3
large100_cop28_p50,2031,0.725,17.67,0.332,2
large100_cop28_p50,2032,0.693,33.31,0.349,1
large100_cop28_p50,2033,0.766,35.05,0.185,1
large100_cop28_p50,2034,0.73,33.37,0.128,1
large100_cop28_p50,2035,0.727,32.96,0.131,1
large100_cop28_p50,2038,0.703,13.74,0.401,3
large100_cop28_p50,2041,0.72,33.89,0.364,3
large100_cop28_p50,2044,0.774,74.49,0.364,3
large100_cop28_p50,2047,0.828,79.67,0.337,3
large100_cop28_p50,2050,0.871,85.9,0.334,3
large100_eo_p50,2031,0.742,24.15,0.347,2
large100_eo_p50,2032,0.665,42.67,0.372,1
large100_eo_p50,2033,0.757,46.76,0.187,1
large100_eo_p50,2034,0.735,45.52,0.187,1
large100_eo_p50,2035,0.725,44.39,0.131,1
large100_eo_p50,2038,0.729,44.74,0.388,3
large100_eo_p50,2041,0.748,61.55,0.368,3
large100_eo_p50,2044,0.813,97.85,0.35,3
large100_eo_p50,2047,0.864,104.2,0.326,3
large100_eo_p50,2050,0.902,109.93,0.326,3
smr100_eia_p50_eq,2038,0.704,16.15,0.394,3
smr100_eia_p50_eq,2041,0.626,9.98,0.271,3
smr100_eia_p50_eq,2044,0.576,0.3,0.092,3
smr100_eia_p50_eq,2047,0.503,0.27,0.133,3
smr100_eia_p50_eq,2050,0.557,4.51,0.134,3
