,P50 true,P50 flat,loser P50 true,loser P50 flat,max |dOCC|,max |d loser|
large,5378.0,5378.2,6155.6,6155.8,3.7,7.6
smr,4291.3,4292.4,7215.8,7217.6,10.9,16.2
