country,code,reactor_name,reactor_type,model,capacity_net_mw,construction_start,first_criticality,grid_connection,commercial_operation,suspended_date,permanent_shutdown,status
EGYPT,EG -2,EL DABAA-2,PWR,VVER-1200,1100,2022-11,,,,,,under construction
EGYPT,EG -3,EL DABAA-3,PWR,VVER-1200,1100,2023-5,,,,,,under construction
EGYPT,EG -4,EL DABAA-4,PWR,VVER-1200,1100,2024-1,,,,,,under construction
INDIA,IN -35,KUDANKULAM-3,PWR,VVER V-412,917,2017-6,,,,,,under construction
INDIA,IN -36,KUDANKULAM-4,PWR,VVER V-412,917,2017-10,,,,,,under construction
INDIA,IN -37,KUDANKULAM-5,PWR,VVERV412,917,2021-6,,,,,,under construction
INDIA,IN -38,KUDANKULAM-6,PWR,VVERV412,917,2021-12,,,,,,under construction
INDIA,IN -29,PFBR,FBR,Prototype,470,2004-10,,,,,,under construction
INDIA,IN -21,RAJASTHAN-7,PHWR,Horizontal Pre,630,2011-7,2024-9,2025-3,2025-4,,,under construction
INDIA,IN -22,RAJASTHAN-8,PHWR,Horizontal Pre,630,2011-9,,,,,,under construction
"IRAN,ISL.REP",IR -2,BUSHEHR-2,PWR,V-528 VVER-100,974,2019-9,,,,,,under construction
JAPAN,JP -66,OHMA,BWR,ABWR,1328,2010-5,,,,,,under construction
JAPAN,JP -65,SHIMANE-3,BWR,ABWR,1325,2006-10,,,,,,under construction
"KOREA,REP.OF",KR -29,SAEUL-3,PWR,APR-1400,1340,2017-4,,,,,,under construction
"KOREA,REP.OF",KR -30,SAEUL-4,PWR,APR-1400,1340,2018-9,,,,,,under construction
PAKISTAN,PK -8,CHASNUPP-5,PWR,Hualong-1,1117,2024-12,,,,,,under construction
RUSSIA,RU -208,BREST-OD-300,FBR,BREST-OD-300,300,2021-6,,,,,,under construction
RUSSIA,RU -166,KURSK 2-1,PWR,VVER V-510,1200,2018-4,2025-5,2025-6,2025-12,,,under construction
RUSSIA,RU -189,KURSK 2-2,PWR,VVER V-510,1200,2019-4,2026-12,2027-3,2027-11,,,under construction
RUSSIA,RU -165,LENINGRAD 2-3,PWR,VVER V-491,1150,2024-3,2029-12,2030-12,2031-1,,,under construction
SLOVAKIA,SK -11,MOCHOVCE-4,PWR,VVER V-213,440,1987-1,,,,,,under construction
TÜRKIYE,TR -1,AKKUYU-1,PWR,VVER V-509,1114,2018-4,,,,,,under construction
TÜRKIYE,TR -2,AKKUYU-2,PWR,VVER V-509,1114,2020-4,,,,,,under construction
TÜRKIYE,TR -3,AKKUYU-3,PWR,VVER V-509,1114,2021-3,,,,,,under construction
TÜRKIYE,TR -4,AKKUYU-4,PWR,VVER V-509,1114,2022-7,,,,,,under construction
UK,GB -25A,HINKLEY POINT C-1,PWR,EPR-1750,1630,2018-12,,,,,,under construction
UK,GB -25B,HINKLEY POINT C-2,PWR,EPR-1750,1630,2019-12,,,,,,under construction
UKRAINE,UA -51,KHMELNITSKI-3,PWR,VVER,1035,1986-3,,,,,,under construction
UKRAINE,UA -52,KHMELNITSKI-4,PWR,VVER,1035,1987-2,,,,,,under construction
ARMENIA,AM -18,ARMENIAN-1,PWR,,376,1969-7,,1976-12,1977-10,,1989-2,shutdown
BELGIUM,BE -1,BR-3,PWR,,10,1957-11,,1962-10,1962-10,,1987-6,shutdown
BELGIUM,BE -5,DOEL-3,PWR,,1006,1975-1,,1982-6,1982-10,,2022-9,shutdown
BELGIUM,BE -6,TIHANGE-2,PWR,,1008,1976-4,,1982-10,1983-6,,2023-2,shutdown
BULGARIA,BG -1,KOZLODUY-1,PWR,,408,1970-4,,1974-7,1974-10,,2002-12,shutdown
BULGARIA,BG -2,KOZLODUY-2,PWR,,408,1970-4,,1975-8,1975-11,,2002-12,shutdown
BULGARIA,BG -3,KOZLODUY-3,PWR,,408,1973-10,,1980-12,1981-1,,2006-12,shutdown
BULGARIA,BG -4,KOZLODUY-4,PWR,,408,1973-10,,1982-5,1982-6,,2006-12,shutdown
CANADA,CA -2,DOUGLAS POINT,PHWR,,206,1960-2,,1967-1,1968-9,,1984-5,shutdown
CANADA,CA -3,GENTILLY-1,HWLWR,,250,1966-9,,1971-4,1972-5,,1977-6,shutdown
CANADA,CA -12,GENTILLY-2,PHWR,,635,1974-4,,1982-12,1983-10,,2012-12,shutdown
CANADA,CA -4,PICKERING-1,PHWR,,515,1966-6,,1971-4,1971-7,,2024-10,shutdown
CANADA,CA -5,PICKERING-2,PHWR,,515,1966-9,,1971-10,1971-12,,2007-5,shutdown
CANADA,CA -6,PICKERING-3,PHWR,,515,1967-12,,1972-5,1972-6,,2008-10,shutdown
CANADA,CA -7,PICKERING-4,PHWR,,515,1968-5,,1973-5,1973-6,,2024-12,shutdown
CANADA,CA -1,ROLPHTON NPD,PHWR,,22,1958-1,,1962-6,1962-10,,1987-8,shutdown
FRANCE,FR -9,BUGEY-1,GCR,,540,1965-12,,1972-4,1972-7,,1994-5,shutdown
FRANCE,FR -2,CHINON A-1,GCR,,70,1957-2,,1963-6,1964-2,,1973-4,shutdown
FRANCE,FR -3,CHINON A-2,GCR,,180,1959-8,,1965-2,1965-2,,1985-6,shutdown
FRANCE,FR -4,CHINON A-3,GCR,,360,1961-3,,1966-8,1966-8,,1990-6,shutdown
FRANCE,FR -5,CHOOZ-A (ARDENNES),PWR,,305,1962-1,,1967-4,1967-4,,1991-10,shutdown
FRANCE,FR -6,EL-4 (MONTS D'ARREE),HWGCR,,70,1962-7,,1967-7,1968-6,,1985-7,shutdown
FRANCE,FR -11,FESSENHEIM-1,PWR,,880,1971-9,,1977-4,1978-1,,2020-2,shutdown
FRANCE,FR -12,FESSENHEIM-2,PWR,,880,1972-2,,1977-10,1978-4,,2020-6,shutdown
FRANCE,FR -1B,G-2 (MARCOULE),GCR,,39,1955-3,,1959-4,1959-4,,1980-2,shutdown
FRANCE,FR -1,G-3 (MARCOULE),GCR,,40,1956-3,,1960-4,1960-4,,1984-6,shutdown
FRANCE,FR -10,PHENIX,FBR,,130,1968-11,,1973-12,1974-7,,2010-2,shutdown
FRANCE,FR -7,ST. LAURENT A-1,GCR,,390,1963-10,,1969-3,1969-6,,1990-4,shutdown
FRANCE,FR -8,ST. LAURENT A-2,GCR,,465,1966-1,,1971-8,1971-11,,1992-5,shutdown
FRANCE,FR -24,SUPER-PHENIX,FBR,,1200,1976-12,,1986-1,1986-12,,1998-12,shutdown
GERMANY,DE -4,AVR JUELICH,HTGR,,13,1961-8,,1967-12,1969-5,,1988-12,shutdown
GERMANY,DE -12,BIBLIS-A,PWR,,1167,1970-1,,1974-8,1975-2,,2011-8,shutdown
GERMANY,DE -18,BIBLIS-B,PWR,,1240,1972-2,,1976-4,1977-1,,2011-8,shutdown
GERMANY,DE -32,BROKDORF,PWR,,1410,1976-1,,1986-10,1986-12,,2021-12,shutdown
GERMANY,DE -13,BRUNSBUETTEL,BWR,,771,1970-4,,1976-7,1977-2,,2011-8,shutdown
GERMANY,DE -33,EMSLAND,PWR,,1335,1982-8,,1988-4,1988-6,,2023-4,shutdown
GERMANY,DE -23,GRAFENRHEINFELD,PWR,,1275,1975-1,,1981-12,1982-6,,2015-6,shutdown
GERMANY,DE -502,GREIFSWALD-1,PWR,,408,1970-3,,1973-12,1974-7,,1990-12,shutdown
GERMANY,DE -503,GREIFSWALD-2,PWR,,408,1970-3,,1974-12,1975-4,,1990-2,shutdown
GERMANY,DE -504,GREIFSWALD-3,PWR,,408,1972-4,,1977-10,1978-5,,1990-2,shutdown
GERMANY,DE -505,GREIFSWALD-4,PWR,,408,1972-4,,1979-9,1979-11,,1990-6,shutdown
GERMANY,DE -506,GREIFSWALD-5,PWR,,408,1976-12,,1989-4,1989-11,,1989-11,shutdown
GERMANY,DE -27,GROHNDE,PWR,,1360,1976-6,,1984-9,1985-2,,2021-12,shutdown
GERMANY,DE -3,GUNDREMMINGEN-A,BWR,,237,1962-12,,1966-12,1967-4,,1977-1,shutdown
GERMANY,DE -26,GUNDREMMINGEN-B,BWR,,1284,1976-7,,1984-3,1984-7,,2017-12,shutdown
GERMANY,DE -28,GUNDREMMINGEN-C,BWR,,1288,1976-7,,1984-11,1985-1,,2021-12,shutdown
GERMANY,DE -16,ISAR-1,BWR,,878,1972-5,,1977-12,1979-3,,2011-8,shutdown
GERMANY,DE -31,ISAR-2,PWR,,1410,1982-9,,1988-1,1988-4,,2023-4,shutdown
GERMANY,DE -8,KNK II,FBR,,17,1974-9,,1978-4,1979-3,,1991-8,shutdown
GERMANY,DE -20,KRUEMMEL,BWR,,1346,1974-4,,1983-9,1984-3,,2011-8,shutdown
GERMANY,DE -6,LINGEN,BWR,,183,1964-10,,1968-7,1968-10,,1977-1,shutdown
GERMANY,DE -22,MUELHEIM-KAERLICH,PWR,,1219,1975-1,,1986-3,1987-8,,1988-9,shutdown
GERMANY,DE -2,MZFR,PHWR,,52,1961-12,,1966-3,1966-12,,1984-5,shutdown
GERMANY,DE -15,NECKARWESTHEIM-1,PWR,,785,1972-2,,1976-6,1976-12,,2011-8,shutdown
GERMANY,DE -44,NECKARWESTHEIM-2,PWR,,1310,1982-11,,1989-1,1989-4,,2023-4,shutdown
GERMANY,DE -5,OBRIGHEIM,PWR,,340,1965-3,,1968-10,1969-3,,2005-5,shutdown
GERMANY,DE -14,PHILIPPSBURG-1,BWR,,890,1970-10,,1979-5,1980-3,,2011-8,shutdown
GERMANY,DE -24,PHILIPPSBURG-2,PWR,,1402,1977-7,,1984-12,1985-4,,2019-12,shutdown
GERMANY,DE -501,RHEINSBERG,PWR,,62,1960-1,,1966-5,1966-10,,1990-6,shutdown
GERMANY,DE -10,STADE,PWR,,640,1967-12,,1972-1,1972-5,,2003-11,shutdown
GERMANY,DE -19,THTR-300,HTGR,,296,1971-5,,1985-11,1987-6,,1988-9,shutdown
GERMANY,DE -17,UNTERWESER,PWR,,1345,1972-7,,1978-9,1979-9,,2011-8,shutdown
GERMANY,DE -9,WUERGASSEN,BWR,,640,1968-1,,1971-12,1975-11,,1994-8,shutdown
ITALY,IT -4,CAORSO,BWR,,860,1970-1,,1978-5,1981-12,,1990-7,shutdown
ITALY,IT -3,ENRICO FERMI,PWR,,260,1961-7,,1964-10,1965-1,,1990-7,shutdown
ITALY,IT -2,GARIGLIANO,BWR,,150,1959-11,,1964-1,1964-6,,1982-3,shutdown
ITALY,IT -1,LATINA,GCR,,153,1958-11,,1963-5,1964-1,,1987-12,shutdown
JAPAN,JP -20,FUGEN ATR,HWLWR,,148,1972-5,,1978-7,1979-3,,2003-3,shutdown
JAPAN,JP -5,FUKUSHIMA-DAIICHI-1,BWR,,439,1967-7,,1970-11,1971-3,,2011-5,shutdown
JAPAN,JP -9,FUKUSHIMA-DAIICHI-2,BWR,,760,1969-6,,1973-12,1974-7,,2011-5,shutdown
JAPAN,JP -10,FUKUSHIMA-DAIICHI-3,BWR,,760,1970-12,,1974-10,1976-3,,2011-5,shutdown
JAPAN,JP -16,FUKUSHIMA-DAIICHI-4,BWR,,760,1973-2,,1978-2,1978-10,,2011-5,shutdown
JAPAN,JP -17,FUKUSHIMA-DAIICHI-5,BWR,,760,1972-5,,1977-9,1978-4,,2013-12,shutdown
JAPAN,JP -18,FUKUSHIMA-DAIICHI-6,BWR,,1067,1973-10,,1979-5,1979-10,,2013-12,shutdown
JAPAN,JP -25,FUKUSHIMA-DAINI-1,BWR,,1067,1976-3,,1981-7,1982-4,,2019-9,shutdown
JAPAN,JP -26,FUKUSHIMA-DAINI-2,BWR,,1067,1979-5,,1983-6,1984-2,,2019-9,shutdown
JAPAN,JP -35,FUKUSHIMA-DAINI-3,BWR,,1067,1981-3,,1984-12,1985-6,,2019-9,shutdown
JAPAN,JP -38,FUKUSHIMA-DAINI-4,BWR,,1067,1981-5,,1986-12,1987-8,,2019-9,shutdown
JAPAN,JP -12,GENKAI-1,PWR,,529,1971-9,,1975-2,1975-10,,2015-4,shutdown
JAPAN,JP -27,GENKAI-2,PWR,,529,1977-2,,1980-6,1981-3,,2019-4,shutdown
JAPAN,JP -11,HAMAOKA-1,BWR,,515,1971-6,,1974-8,1976-3,,2009-1,shutdown
JAPAN,JP -24,HAMAOKA-2,BWR,,806,1974-6,,1978-5,1978-11,,2009-1,shutdown
JAPAN,JP -23,IKATA-1,PWR,,538,1973-9,,1977-2,1977-9,,2016-5,shutdown
JAPAN,JP -32,IKATA-2,PWR,,538,1978-8,,1981-8,1982-3,,2018-5,shutdown
JAPAN,JP -1,JPDR,BWR,,12,1960-12,,1963-10,1965-3,,1976-3,shutdown
JAPAN,JP -4,MIHAMA-1,PWR,,320,1967-2,,1970-8,1970-11,,2015-4,shutdown
JAPAN,JP -6,MIHAMA-2,PWR,,470,1968-5,,1972-4,1972-7,,2015-4,shutdown
JAPAN,JP -31,MONJU,FBR,,246,1986-5,,1995-8,,,2017-12,shutdown
JAPAN,JP -15,OHI-1,PWR,,1120,1972-10,,1977-12,1979-3,,2018-3,shutdown
JAPAN,JP -19,OHI-2,PWR,,1120,1972-12,,1978-10,1979-12,,2018-3,shutdown
JAPAN,JP -22,ONAGAWA-1,BWR,,498,1980-7,,1983-11,1984-6,,2018-12,shutdown
JAPAN,JP -7,SHIMANE-1,BWR,,439,1970-7,,1973-12,1974-3,,2015-4,shutdown
JAPAN,JP -2,TOKAI-1,GCR,,137,1961-3,,1965-11,1966-7,,1998-3,shutdown
JAPAN,JP -3,TSURUGA-1,BWR,,340,1966-4,,1969-11,1970-3,,2015-4,shutdown
KAZAKHSTAN,KZ -10,AKTAU,FBR,,52,1964-10,,1973-7,1973-7,,1999-4,shutdown
"KOREA,REP.OF",KR -1,KORI-1,PWR,,576,1972-8,,1977-6,1978-4,,2017-6,shutdown
"KOREA,REP.OF",KR -3,WOLSONG-1,PHWR,,661,1977-10,,1982-12,1983-4,,2019-12,shutdown
LITHUANIA,LT -46,IGNALINA-1,LWGR,,1185,1977-5,,1983-12,1985-5,,2004-12,shutdown
LITHUANIA,LT -47,IGNALINA-2,LWGR,,1185,1978-1,,1987-8,1987-12,,2009-12,shutdown
NETHERLANDS,NL -1,DODEWAARD,BWR,,55,1965-5,,1968-10,1969-3,,1997-3,shutdown
PAKISTAN,PK -1,KANUPP-1,PHWR,,90,1966-8,,1971-10,1972-12,,2021-8,shutdown
RUSSIA,RU -1,APS-1 OBNINSK,LWGR,,5,1951-1,,1954-6,1954-12,,2002-4,shutdown
RUSSIA,RU -3,BELOYARSK-1,LWGR,,102,1958-6,,1964-4,1964-4,,1983-1,shutdown
RUSSIA,RU -6,BELOYARSK-2,LWGR,,146,1962-1,,1967-12,1969-12,,1990-1,shutdown
RUSSIA,RU -141,BILIBINO-1,LWGR,,11,1970-1,,1974-1,1974-4,,2019-1,shutdown
RUSSIA,RU -17,KURSK-1,LWGR,,925,1972-6,,1976-12,1977-10,,2021-12,shutdown
RUSSIA,RU -22,KURSK-2,LWGR,,925,1973-1,,1979-1,1979-8,,2024-1,shutdown
RUSSIA,RU -15,LENINGRAD-1,LWGR,,925,1970-3,,1973-12,1974-11,,2018-12,shutdown
RUSSIA,RU -16,LENINGRAD-2,LWGR,,925,1970-6,,1975-7,1976-2,,2020-11,shutdown
RUSSIA,RU -4,NOVOVORONEZH-1,PWR,,197,1957-7,,1964-9,1964-12,,1988-2,shutdown
RUSSIA,RU -8,NOVOVORONEZH-2,PWR,,336,1964-6,,1969-12,1970-4,,1990-8,shutdown
RUSSIA,RU -9,NOVOVORONEZH-3,PWR,,385,1967-7,,1971-12,1972-6,,2016-12,shutdown
SLOVAKIA,SK -1,BOHUNICE A1,HWGCR,,93,1958-8,,1972-12,1972-12,,1977-2,shutdown
SLOVAKIA,SK -2,BOHUNICE-1,PWR,,408,1972-4,,1978-12,1980-4,,2006-12,shutdown
SLOVAKIA,SK -3,BOHUNICE-2,PWR,,408,1972-4,,1980-3,1981-1,,2008-12,shutdown
SPAIN,ES -1,JOSE CABRERA-1,PWR,,141,1964-6,,1968-7,1969-8,,2006-4,shutdown
SPAIN,ES -2,SANTA MARIA DE,GARONA BWR,,446,1966-9,,1971-3,1971-5,,2017-8,shutdown
SPAIN,ES -3,VANDELLOS-1,GCR,,480,1968-6,,1972-5,1972-8,,1990-7,shutdown
SWEDEN,SE -1,AGESTA,PHWR,,10,1957-12,,1964-5,1964-5,,1974-6,shutdown
SWEDEN,SE -6,BARSEBACK-1,BWR,,600,1971-2,,1975-5,1975-7,,1999-11,shutdown
SWEDEN,SE -8,BARSEBACK-2,BWR,,600,1973-1,,1977-3,1977-7,,2005-5,shutdown
SWEDEN,SE -2,OSKARSHAMN-1,BWR,,473,1966-8,,1971-8,1972-2,,2017-6,shutdown
SWEDEN,SE -3,OSKARSHAMN-2,BWR,,638,1969-9,,1974-10,1975-1,,2016-12,shutdown
SWEDEN,SE -4,RINGHALS-1,BWR,,881,1969-2,,1974-10,1976-1,,2020-12,shutdown
SWEDEN,SE -5,RINGHALS-2,PWR,,852,1970-10,,1974-8,1975-5,,2019-12,shutdown
SWITZERLAND,CH -8,LUCENS,HWGCR,,6,1962-4,,1968-1,,,1969-1,shutdown
SWITZERLAND,CH -2,MUEHLEBERG,BWR,,373,1967-3,,1971-7,1972-11,,2019-12,shutdown
UK,GB -3A,BERKELEY-1,GCR,,138,1957-1,,1962-6,1962-6,,1989-3,shutdown
UK,GB -3B,BERKELEY-2,GCR,,138,1957-1,,1962-6,1962-10,,1988-10,shutdown
UK,GB -4A,BRADWELL-1,GCR,,123,1957-1,,1962-7,1962-7,,2002-3,shutdown
UK,GB -4B,BRADWELL-2,GCR,,123,1957-1,,1962-7,1962-11,,2002-3,shutdown
UK,GB -1A,CALDER HALL-1,GCR,,49,1953-8,,1956-8,1956-10,,2003-3,shutdown
UK,GB -1B,CALDER HALL-2,GCR,,49,1953-8,,1957-2,1957-2,,2003-3,shutdown
UK,GB -1C,CALDER HALL-3,GCR,,49,1955-8,,1958-3,1958-5,,2003-3,shutdown
UK,GB -1D,CALDER HALL-4,GCR,,49,1955-8,,1959-4,1959-4,,2003-3,shutdown
UK,GB -2A,CHAPELCROSS-1,GCR,,48,1955-10,,1959-2,1959-3,,2004-6,shutdown
UK,GB -2B,CHAPELCROSS-2,GCR,,48,1955-10,,1959-7,1959-8,,2004-6,shutdown
UK,GB -2C,CHAPELCROSS-3,GCR,,48,1955-10,,1959-11,1959-12,,2004-6,shutdown
UK,GB -2D,CHAPELCROSS-4,GCR,,48,1955-10,,1960-1,1960-3,,2004-6,shutdown
UK,GB -14,DOUNREAY DFR,FBR,,11,1955-3,,1962-10,1962-10,,1977-3,shutdown
UK,GB -15,DOUNREAY PFR,FBR,,234,1966-1,,1975-1,1976-7,,1994-3,shutdown
UK,GB -9A,DUNGENESS A-1,GCR,,225,1960-7,,1965-9,1965-10,,2006-12,shutdown
UK,GB -9B,DUNGENESS A-2,GCR,,225,1960-7,,1965-11,1965-12,,2006-12,shutdown
UK,GB -18A,DUNGENESS B-1,GCR,,545,1965-10,,1983-4,1985-4,,2021-6,shutdown
UK,GB -18B,DUNGENESS B-2,GCR,,545,1965-10,,1985-12,1989-4,,2021-6,shutdown
UK,GB -7A,HINKLEY POINT A-1,GCR,,235,1957-11,,1965-2,1965-3,,2000-5,shutdown
UK,GB -7B,HINKLEY POINT A-2,GCR,,235,1957-11,,1965-3,1965-5,,2000-5,shutdown
UK,GB -16A,HINKLEY POINT B-1,GCR,,485,1967-9,,1976-10,1978-10,,2022-8,shutdown
UK,GB -16B,HINKLEY POINT B-2,GCR,,480,1967-9,,1976-2,1976-9,,2022-7,shutdown
UK,GB -6A,HUNTERSTON A-1,GCR,,150,1957-10,,1964-2,1964-2,,1990-3,shutdown
UK,GB -6B,HUNTERSTON A-2,GCR,,150,1957-10,,1964-6,1964-7,,1989-12,shutdown
UK,GB -17A,HUNTERSTON B-1,GCR,,490,1967-11,,1976-2,1976-2,,2021-11,shutdown
UK,GB -17B,HUNTERSTON B-2,GCR,,495,1967-11,,1977-3,1977-4,,2022-1,shutdown
UK,GB -11A,OLDBURY A-1,GCR,,217,1962-5,,1967-11,1967-12,,2012-2,shutdown
UK,GB -11B,OLDBURY A-2,GCR,,217,1962-5,,1968-4,1968-9,,2011-6,shutdown
UK,GB -10A,SIZEWELL A-1,GCR,,210,1961-4,,1966-1,1966-3,,2006-12,shutdown
UK,GB -10B,SIZEWELL A-2,GCR,,210,1961-4,,1966-4,1966-9,,2006-12,shutdown
UK,GB -8A,TRAWSFYNYDD-1,GCR,,195,1959-7,,1965-1,1965-3,,1991-2,shutdown
UK,GB -8B,TRAWSFYNYDD-2,GCR,,195,1959-7,,1965-2,1965-3,,1991-2,shutdown
UK,GB -5,WINDSCALE AGR,GCR,,24,1958-11,,1963-2,1963-3,,1981-4,shutdown
UK,GB -12,WINFRITH SGHWR,SGHWR,,92,1963-5,,1967-12,1968-1,,1990-9,shutdown
UK,GB -13A,WYLFA-1,GCR,,490,1963-9,,1971-1,1971-11,,2015-12,shutdown
UK,GB -13B,WYLFA-2,GCR,,490,1963-9,,1971-7,1972-1,,2012-4,shutdown
UKRAINE,UA -25,CHERNOBYL-1,LWGR,,740,1970-3,,1977-9,1978-5,,1996-11,shutdown
UKRAINE,UA -26,CHERNOBYL-2,LWGR,,925,1973-2,,1978-12,1979-5,,1991-10,shutdown
UKRAINE,UA -42,CHERNOBYL-3,LWGR,,925,1976-3,,1981-12,1982-6,,2000-12,shutdown
UKRAINE,UA -43,CHERNOBYL-4,LWGR,,925,1979-4,,1983-12,1984-3,,1986-4,shutdown
USA,US -155,BIG ROCK POINT,BWR,,67,1960-5,,1962-12,1963-3,,1997-8,shutdown
USA,US -014,BONUS,BWR,,17,1960-1,,1964-8,1965-9,,1968-6,shutdown
USA,US -302,CRYSTAL RIVER-3,PWR,,860,1968-9,,1977-1,1977-3,,2013-2,shutdown
USA,US -144,CVTR,PHWR,,17,1960-1,,1963-12,1963-12,,1967-1,shutdown
USA,US -10,DRESDEN-1,BWR,,197,1956-5,,1960-4,1960-7,,1978-10,shutdown
USA,US -331,DUANE ARNOLD-1,BWR,,601,1970-6,,1974-5,1975-2,,2020-10,shutdown
USA,US -011,ELK RIVER,BWR,,22,1959-1,,1963-8,1964-7,,1968-2,shutdown
USA,US -16,FERMI-1,FBR,,61,1956-8,,1966-8,1966-8,,1972-11,shutdown
USA,US -285,FORT CALHOUN-1,PWR,,482,1968-6,,1973-8,1973-9,,2016-10,shutdown
USA,US -267,FORT ST. VRAIN,HTGR,,330,1968-9,,1976-12,1979-7,,1989-8,shutdown
USA,US -018,GE VALLECITOS,BWR,,24,1956-1,,1957-10,1957-10,,1963-12,shutdown
USA,US -213,HADDAM NECK,PWR,,560,1964-5,,1967-8,1968-1,,1996-12,shutdown
USA,US -077,HALLAM,X,,75,1959-1,,1963-9,1963-11,,1964-9,shutdown
USA,US -133,HUMBOLDT BAY,BWR,,63,1960-11,,1963-4,1963-8,,1976-7,shutdown
USA,US -013,INDIAN POINT-1,PWR,,257,1956-5,,1962-9,1962-10,,1974-10,shutdown
USA,US -247,INDIAN POINT-2,PWR,,998,1966-10,,1973-6,1974-8,,2020-4,shutdown
USA,US -286,INDIAN POINT-3,PWR,,1030,1968-10,,1976-4,1976-8,,2021-4,shutdown
USA,US -305,KEWAUNEE,PWR,,566,1968-8,,1974-4,1974-6,,2013-5,shutdown
USA,US -409,LACROSSE,BWR,,48,1963-3,,1968-4,1969-11,,1987-4,shutdown
USA,US -309,MAINE YANKEE,PWR,,860,1968-10,,1972-11,1972-12,,1997-8,shutdown
USA,US -245,MILLSTONE-1,BWR,,641,1966-5,,1970-11,1971-3,,1998-7,shutdown
USA,US -219,OYSTER CREEK,BWR,,619,1964-12,,1969-9,1969-12,,2018-9,shutdown
USA,US -255,PALISADES,PWR,,805,1967-3,,1971-12,,,2022-5,shutdown
USA,US -130,PATHFINDER,BWR,,59,1959-1,,1966-7,1966-8,,1967-10,shutdown
USA,US -171,PEACH BOTTOM-1,HTGR,,40,1962-2,,1967-1,1967-6,,1974-11,shutdown
USA,US -293,PILGRIM-1,BWR,,677,1968-8,,1972-7,1972-12,,2019-5,shutdown
USA,US -012,PIQUA,X,,12,1960-1,,1963-7,1963-11,,1966-1,shutdown
USA,US -312,RANCHO SECO-1,PWR,,873,1969-4,,1974-10,1975-4,,1989-6,shutdown
USA,US -206,SAN ONOFRE-1,PWR,,436,1964-5,,1967-7,1968-1,,1992-11,shutdown
USA,US -361,SAN ONOFRE-2,PWR,,1070,1974-3,,1982-9,1983-8,,2013-6,shutdown
USA,US -362,SAN ONOFRE-3,PWR,,1080,1974-3,,1983-9,1984-4,,2013-6,shutdown
USA,US -146,SAXTON,PWR,,3,1960-1,,1967-3,,,1972-5,shutdown
USA,US -001,SHIPPINGPORT,PWR,,60,1954-1,,1957-12,1958-5,,1982-10,shutdown
USA,US -322,SHOREHAM,BWR,,820,1972-11,,1986-8,,,1989-6,shutdown
USA,US -289,THREE MILE ISLAND-1,PWR,,819,1968-5,,1974-6,1974-9,,2019-9,shutdown
USA,US -320,THREE MILE ISLAND-2,PWR,,880,1969-11,,1978-4,1978-12,,1979-3,shutdown
USA,US -344,TROJAN,PWR,,1095,1970-2,,1975-12,1976-5,,1992-11,shutdown
USA,US -271,VERMONT YANKEE,BWR,,605,1967-12,,1972-9,1972-11,,2014-12,shutdown
USA,US -29,YANKEE NPS,PWR,,167,1957-11,,1960-11,1961-7,,1991-10,shutdown
USA,US -295,ZION-1,PWR,,1040,1968-12,,1973-6,1973-12,,1998-2,shutdown
USA,US -304,ZION-2,PWR,,1040,1968-12,,1973-12,1974-9,,1998-2,shutdown
"TAIWAN,CHINA",TW -1,CHINSHAN-1,BWR,,604,1972-6,,1977-11,1978-12,,2018-12,shutdown
"TAIWAN,CHINA",TW -2,CHINSHAN-2,BWR,,604,1973-12,,1978-12,1979-7,,2019-7,shutdown
"TAIWAN,CHINA",TW -3,KUOSHENG-1,BWR,,985,1975-11,,1981-5,1981-12,,2021-12,shutdown
"TAIWAN,CHINA",TW -4,KUOSHENG-2,BWR,,985,1976-3,,1982-6,1983-3,,2023-3,shutdown
"TAIWAN,CHINA",TW -5,MAANSHAN-1,PWR,,936,1978-8,,1984-5,1984-7,,2024-7,shutdown
