t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.5864,2.614
2026,4.0598,3.1152,3.1485
2027,5.5012,4.2213,4.2663
2028,6.9894,5.3633,5.4205
2029,8.1212,6.2318,6.2982
2030,9.4004,7.2133,7.2903
2031,12.7796,9.8063,9.9109
2032,16.1588,12.3993,12.5316
2033,19.538,14.9923,15.1522
2034,22.9172,17.5854,17.7729
2035,26.2964,20.1784,20.3935
2036,29.6756,22.7714,23.0142
2037,33.0548,25.3644,25.6349
2038,36.499,28.0072,28.3059
2039,39.8782,30.6002,30.9265
2040,43.3223,33.2431,33.5976
2041,47.5452,36.4834,36.8725
2042,51.8573,39.7923,40.2166
2043,56.3171,43.2145,43.6754
2044,60.8461,46.6898,47.1877
2045,65.3535,50.1485,50.6833
2046,70.0596,53.7597,54.333
2047,74.9397,57.5044,58.1176
2048,79.727,61.1779,61.8303
2049,86.0051,65.9954,66.6992
2050,92.1989,70.7481,71.5026
