t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.9174,1.5107
2026,4.0598,3.5139,1.8196
2027,5.5012,4.7615,2.4656
2028,6.9894,6.0497,3.1326
2029,8.1212,7.0293,3.6399
2030,9.4004,8.1365,4.2132
2031,11.7404,10.1618,5.262
2032,14.0805,12.1872,6.3108
2033,16.4205,14.2126,7.3596
2034,18.7605,16.238,8.4084
2035,21.1006,18.2634,9.4571
2036,23.5055,20.345,10.535
2037,25.8456,22.3704,11.5838
2038,28.2505,24.452,12.6617
2039,30.6416,26.5216,13.7334
2040,33.1218,28.6683,14.845
2041,35.9245,31.0942,16.1012
2042,38.7964,33.5799,17.3883
2043,41.6466,36.0468,18.6657
2044,44.6956,38.6859,20.0323
2045,47.9184,41.4754,21.4768
2046,51.0486,44.1847,22.8797
2047,55.6696,48.1844,24.9508
2048,60.2062,52.111,26.9841
2049,63.9714,55.3699,28.6716
2050,68.2339,59.0593,30.582
