t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.8978,1.5762
2026,4.0598,3.4903,1.8984
2027,5.5012,4.7295,2.5725
2028,6.9894,6.0089,3.2684
2029,8.1212,6.9819,3.7977
2030,9.4004,8.0817,4.3958
2031,11.8021,10.1464,5.5189
2032,14.2038,12.2112,6.642
2033,16.6055,14.276,7.7651
2034,19.0072,16.3408,8.8882
2035,21.4089,18.4056,10.0113
2036,23.8756,20.5262,11.1647
2037,26.2773,22.5909,12.2878
2038,28.7439,24.7116,13.4413
2039,31.1967,26.8202,14.5882
2040,33.7386,29.0055,15.7769
2041,36.6396,31.4996,17.1335
2042,39.6098,34.0531,18.5224
2043,42.5584,36.588,19.9012
2044,45.7057,39.2938,21.3729
2045,49.0269,42.1491,22.926
2046,52.2554,44.9247,24.4357
2047,56.9748,48.982,26.6426
2048,61.6098,52.9668,28.81
2049,65.4733,56.2883,30.6167
2050,69.8342,60.0374,32.6559
