t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.7011,2.2319
2026,4.0598,3.2533,2.6883
2027,5.5012,4.4084,3.6427
2028,6.9894,5.601,4.6282
2029,8.1212,6.5079,5.3776
2030,9.4004,7.533,6.2247
2031,12.4197,9.9526,8.224
2032,15.4391,12.3721,10.2233
2033,18.4584,14.7916,12.2226
2034,21.4778,17.2112,14.2219
2035,24.4971,19.6307,16.2212
2036,27.5164,22.0503,18.2206
2037,30.6007,24.5218,20.2629
2038,33.62,26.9414,22.2622
2039,36.7043,29.413,24.3045
2040,39.7747,31.8734,26.3376
2041,43.5129,34.869,28.8129
2042,47.3989,37.983,31.3861
2043,51.354,41.1524,34.0051
2044,55.2874,44.3045,36.6097
2045,59.4197,47.6159,39.346
2046,63.7259,51.0667,42.1974
2047,67.9393,54.4431,44.9874
2048,73.6436,59.0142,48.7646
2049,79.2635,63.5177,52.4859
2050,84.112,67.403,55.6964
