t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.9453,1.418
2026,4.0598,3.5474,1.7079
2027,5.5012,4.8069,2.3143
2028,6.9894,6.1073,2.9404
2029,8.1212,7.0963,3.4165
2030,9.4004,8.214,3.9546
2031,11.6531,10.1824,4.9023
2032,13.9058,12.1508,5.85
2033,16.1585,14.1192,6.7976
2034,18.4112,16.0876,7.7453
2035,20.6639,18.056,8.693
2036,22.9816,20.0812,9.668
2037,25.2342,22.0495,10.6157
2038,27.5519,24.0747,11.5907
2039,29.8556,26.0877,12.5598
2040,32.2485,28.1786,13.5665
2041,34.912,30.5059,14.6869
2042,37.6445,32.8936,15.8365
2043,40.3555,35.2624,16.9769
2044,43.2652,37.8049,18.201
2045,46.3488,40.4993,19.4983
2046,49.3397,43.1127,20.7565
2047,53.8214,47.0289,22.6419
2048,58.2188,50.8712,24.4918
2049,61.8447,54.0395,26.0171
2050,65.9679,57.6424,27.7517
