t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.6455,2.4171
2026,4.0598,3.1864,2.9113
2027,5.5012,4.3177,3.945
2028,6.9894,5.4858,5.0122
2029,8.1212,6.3741,5.8239
2030,9.4004,7.3781,6.7412
2031,12.5942,9.8847,9.0315
2032,15.7879,12.3914,11.3218
2033,18.9817,14.8981,13.6121
2034,22.1755,17.4048,15.9024
2035,25.3692,19.9114,18.1926
2036,28.563,22.4181,20.4829
2037,31.7568,24.9248,22.7732
2038,35.0155,27.4825,25.1101
2039,38.2092,29.9891,27.4004
2040,41.468,32.5468,29.7373
2041,45.3951,35.6291,32.5535
2042,49.4115,38.7814,35.4337
2043,53.5756,42.0497,38.4198
2044,57.8089,45.3722,41.4556
2045,62.0205,48.6778,44.4758
2046,66.431,52.1394,47.6386
2047,71.0153,55.7375,50.9261
2048,75.5069,59.2628,54.1471
2049,81.4894,63.9582,58.4372
2050,87.3874,68.5874,62.6668
