t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.1376,0.7768
2026,4.0598,3.7791,0.9356
2027,5.5012,5.1209,1.2678
2028,6.9894,6.5062,1.6108
2029,8.1212,7.5598,1.8716
2030,9.4004,8.7505,2.1664
2031,11.0898,10.3231,2.5557
2032,12.7791,11.8956,2.945
2033,14.4685,13.4682,3.3343
2034,16.1822,15.0634,3.7293
2035,17.8716,16.636,4.1186
2036,19.5853,18.2312,4.5135
2037,21.3257,19.8513,4.9146
2038,23.1147,21.5166,5.3269
2039,25.0515,23.3195,5.7732
2040,27.0574,25.1867,6.2355
2041,28.9738,26.9707,6.6772
2042,30.9989,28.8557,7.1439
2043,33.1194,30.8297,7.6326
2044,35.1473,32.7173,8.0999
2045,38.666,35.9927,8.9108
2046,42.1002,39.1896,9.7022
2047,44.7631,41.6683,10.3159
2048,47.9233,44.61,11.0442
2049,52.488,48.8591,12.0961
2050,57.2256,53.2692,13.1879
