t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.5797,2.6367
2026,4.0598,3.1071,3.1757
2027,5.5012,4.2102,4.3033
2028,6.9894,5.3492,5.4675
2029,8.1212,6.2154,6.3528
2030,9.4004,7.1944,7.3534
2031,12.8009,9.7969,10.0135
2032,16.2015,12.3994,12.6735
2033,19.602,15.0019,15.3336
2034,23.0025,17.6045,17.9936
2035,26.4031,20.207,20.6537
2036,29.8036,22.8095,23.3137
2037,33.2041,25.412,25.9738
2038,36.6696,28.0642,28.6846
2039,40.0702,30.6668,31.3447
2040,43.5356,33.319,34.0555
2041,47.7925,36.5769,37.3854
2042,52.1386,39.9031,40.7851
2043,56.6325,43.3423,44.3004
2044,61.1955,46.8345,47.8698
2045,65.7369,50.3102,51.4223
2046,70.477,53.9379,55.1303
2047,75.3911,57.6988,58.9743
2048,80.2124,61.3887,62.7457
2049,86.5246,66.2196,67.6834
2050,92.7524,70.9859,72.555
