t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.9911,1.2651
2026,4.0598,3.6027,1.5237
2027,5.5012,4.8818,2.0647
2028,6.9894,6.2025,2.6233
2029,8.1212,7.2068,3.048
2030,9.4004,8.342,3.5281
2031,11.5091,10.2132,4.3196
2032,13.6178,12.0845,5.111
2033,15.7264,13.9557,5.9024
2034,17.8351,15.827,6.6938
2035,20.0087,17.7558,7.5096
2036,22.1174,19.6271,8.3011
2037,24.291,21.556,9.1169
2038,26.4507,23.4725,9.9274
2039,28.6996,25.4682,10.7715
2040,31.0963,27.595,11.671
2041,33.5991,29.816,12.6104
2042,36.1066,32.0411,13.5515
2043,38.7866,34.4194,14.5573
2044,41.6405,36.952,15.6285
2045,44.4018,39.4023,16.6648
2046,48.6538,43.1756,18.2607
2047,52.8215,46.874,19.8249
2048,56.2177,49.8879,21.0995
2049,60.1113,53.3431,22.5609
2050,65.4094,58.0446,24.5494
