t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.7161,2.1819
2026,4.0598,3.2714,2.6279
2027,5.5012,4.4329,3.561
2028,6.9894,5.6321,4.5243
2029,8.1212,6.5442,5.2569
2030,9.4004,7.5749,6.085
2031,12.3726,9.9699,8.0089
2032,15.3447,12.3649,9.9328
2033,18.3169,14.7599,11.8567
2034,21.289,17.1549,13.7805
2035,24.2612,19.5498,15.7044
2036,27.2333,21.9448,17.6283
2037,30.2704,24.3921,19.5943
2038,33.2426,26.7871,21.5182
2039,36.2797,29.2344,23.4841
2040,39.3028,31.6705,25.441
2041,42.9658,34.6222,27.8121
2042,46.7765,37.6929,30.2788
2043,50.6564,40.8193,32.7903
2044,54.5146,43.9283,35.2878
2045,58.5717,47.1975,37.9139
2046,62.8026,50.6068,40.6526
2047,66.9408,53.9414,43.3313
2048,72.5698,58.4773,46.975
2049,78.1145,62.9453,50.5641
2050,82.8877,66.7916,53.6539
