t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.7535,2.0573
2026,4.0598,3.3164,2.4779
2027,5.5012,4.4939,3.3577
2028,6.9894,5.7096,4.2661
2029,8.1212,6.6342,4.9569
2030,9.4004,7.6791,5.7376
2031,12.2553,10.0112,7.4801
2032,15.1101,12.3433,9.2226
2033,17.965,14.6754,10.9651
2034,20.8198,17.0075,12.7076
2035,23.6747,19.3397,14.4501
2036,26.5295,21.6718,16.1925
2037,29.4493,24.0569,17.9747
2038,32.3042,26.389,19.7171
2039,35.224,28.7742,21.4993
2040,38.1298,31.148,23.2729
2041,41.6057,33.9874,25.3944
2042,45.2294,36.9476,27.6062
2043,48.9222,39.9642,29.8601
2044,52.5934,42.9632,32.1009
2045,56.4634,46.1245,34.4629
2046,60.5072,49.4279,36.9311
2047,64.4584,52.6556,39.3428
2048,69.9004,57.1011,42.6643
2049,75.258,61.4777,45.9344
2050,79.8441,65.2241,48.7336
