t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.9568,1.3797
2026,4.0598,3.5613,1.6617
2027,5.5012,4.8257,2.2517
2028,6.9894,6.1312,2.8609
2029,8.1212,7.124,3.3242
2030,9.4004,8.2461,3.8478
2031,11.617,10.1905,4.7551
2032,13.8336,12.1349,5.6623
2033,16.0502,14.0793,6.5696
2034,18.2669,16.0238,7.4769
2035,20.5484,18.0252,8.4108
2036,22.765,19.9696,9.3181
2037,25.0466,21.971,10.252
2038,27.3142,23.9601,11.1802
2039,29.671,26.0276,12.1449
2040,32.1756,28.2246,13.1701
2041,34.8506,30.5711,14.265
2042,37.504,32.8987,15.3511
2043,40.3562,35.4007,16.5185
2044,43.3823,38.0551,17.7571
2045,46.3156,40.6283,18.9578
2046,50.7398,44.5092,20.7687
2047,55.0796,48.3161,22.5451
2048,58.648,51.4463,24.0056
2049,62.7137,55.0127,25.6698
2050,68.1839,59.8112,27.9089
