t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.2017,0.5631
2026,4.0598,3.8563,0.6782
2027,5.5012,5.2255,0.9191
2028,6.9894,6.6391,1.1677
2029,8.1212,7.7142,1.3568
2030,9.4004,8.9293,1.5705
2031,10.9366,10.3885,1.8271
2032,12.4728,11.8477,2.0838
2033,14.009,13.3069,2.3404
2034,15.5452,14.7661,2.5971
2035,17.0814,16.2253,2.8537
2036,18.6176,17.6845,3.1104
2037,20.2049,19.1922,3.3755
2038,21.7955,20.7031,3.6413
2039,23.5405,22.3607,3.9328
2040,25.3452,24.0749,4.2343
2041,27.0031,25.6497,4.5113
2042,28.7695,27.3276,4.8064
2043,30.5692,29.0371,5.107
2044,32.2761,30.6584,5.3922
2045,35.4738,33.6959,5.9264
2046,38.5872,36.6532,6.4466
2047,40.9291,38.8778,6.8378
2048,43.7684,41.5747,7.3122
2049,48.0122,45.6058,8.0212
2050,52.4289,49.8012,8.759
