t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.8292,1.805
2026,4.0598,3.4076,2.1741
2027,5.5012,4.6174,2.9459
2028,6.9894,5.8666,3.7429
2029,8.1212,6.8165,4.349
2030,9.4004,7.8902,5.034
2031,12.0176,10.087,6.4355
2032,14.6349,12.2837,7.8371
2033,17.2521,14.4805,9.2386
2034,19.8693,16.6773,10.6402
2035,22.4865,18.874,12.0417
2036,25.1687,21.1253,13.478
2037,27.7859,23.322,14.8796
2038,30.4681,25.5733,16.3159
2039,33.1363,27.8129,17.7448
2040,35.8938,30.1274,19.2214
2041,39.1385,32.8508,20.959
2042,42.4524,35.6323,22.7336
2043,45.7446,38.3956,24.4966
2044,49.2357,41.3258,26.3661
2045,52.9006,44.402,28.3287
2046,56.4728,47.4003,30.2416
2047,61.5358,51.6499,32.9529
2048,66.5145,55.8288,35.619
2049,70.7217,59.3601,37.872
2050,75.4262,63.3088,40.3914
