t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.1226,0.827
2026,4.0598,3.761,0.996
2027,5.5012,5.0963,1.3497
2028,6.9894,6.475,1.7148
2029,8.1212,7.5235,1.9925
2030,9.4004,8.7085,2.3063
2031,11.1257,10.3069,2.7296
2032,12.8511,11.9052,3.1529
2033,14.5764,13.5035,3.5762
2034,16.3374,15.1349,4.0082
2035,18.0627,16.7332,4.4315
2036,19.8237,18.3646,4.8636
2037,21.6,20.0102,5.2994
2038,23.4363,21.7113,5.7499
2039,25.4203,23.5493,6.2367
2040,27.4735,25.4514,6.7404
2041,29.4507,27.2831,7.2255
2042,31.5365,29.2153,7.7372
2043,33.7324,31.2496,8.276
2044,35.8356,33.198,8.792
2045,39.4296,36.5275,9.6737
2046,42.9393,39.7788,10.5348
2047,45.6775,42.3155,11.2066
2048,48.913,45.3129,12.0004
2049,53.5531,49.6115,13.1388
2050,58.3661,54.0702,14.3196
