t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.7416,2.0969
2026,4.0598,3.3021,2.5257
2027,5.5012,4.4745,3.4224
2028,6.9894,5.685,4.3482
2029,8.1212,6.6055,5.0523
2030,9.4004,7.646,5.8481
2031,12.2926,9.9984,7.6474
2032,15.1848,12.3508,9.4467
2033,18.0769,14.7032,11.2459
2034,20.9691,17.0555,13.0452
2035,23.8613,19.4079,14.8444
2036,26.7534,21.7603,16.6437
2037,29.7106,24.1655,18.4834
2038,32.6027,26.5179,20.2826
2039,35.5598,28.9232,22.1223
2040,38.503,31.317,23.9533
2041,42.0384,34.1926,26.1527
2042,45.7216,37.1884,28.4441
2043,49.4739,40.2404,30.7785
2044,53.2047,43.2748,33.0994
2045,57.1341,46.4709,35.544
2046,61.2375,49.8085,38.0967
2047,65.2482,53.0706,40.5918
2048,70.7497,57.5454,44.0144
2049,76.1668,61.9514,47.3845
2050,80.8125,65.7301,50.2746
