t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.8525,1.7273
2026,4.0598,3.4357,2.0805
2027,5.5012,4.6555,2.8191
2028,6.9894,5.9149,3.5818
2029,8.1212,6.8727,4.1618
2030,9.4004,7.9552,4.8173
2031,11.9444,10.1082,6.121
2032,14.4885,12.2611,7.4247
2033,17.0325,14.414,8.7284
2034,19.5765,16.5669,10.0321
2035,22.1206,18.7198,11.3358
2036,24.7296,20.9277,12.6727
2037,27.2736,23.0807,13.9764
2038,29.8826,25.2885,15.3134
2039,32.4776,27.4846,16.6433
2040,35.1619,29.7562,18.0188
2041,38.2899,32.4034,19.6218
2042,41.487,35.109,21.2602
2043,44.6626,37.7963,22.8875
2044,48.0369,40.6519,24.6167
2045,51.5851,43.6546,26.4349
2046,55.0405,46.5788,28.2057
2047,59.9869,50.7647,30.7405
2048,64.8488,54.8792,33.232
2049,68.9393,58.3409,35.3282
2050,73.5272,62.2234,37.6792
