*t,MW
2024,97000.0
2025,97000.0
2026,97000.0
2027,97000.0
2028,97000.0
2029,97000.0
2030,97000.0
2031,97400.0
2032,97800.0
2033,98200.0
2034,98600.0
2035,99000.0
2036,100100.0
2037,101200.0
2038,102300.0
2039,103400.0
2040,104500.0
2041,106200.0
2042,107900.0
2043,109600.0
2044,111300.0
2045,113000.0
2046,116400.0
2047,119800.0
2048,123200.0
2049,126600.0
2050,130000.0
