t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.9843,1.2879
2026,4.0598,3.5944,1.5512
2027,5.5012,4.8706,2.1019
2028,6.9894,6.1883,2.6705
2029,8.1212,7.1903,3.103
2030,9.4004,8.3229,3.5917
2031,11.5306,10.2089,4.4056
2032,13.6607,12.0949,5.2195
2033,15.7908,13.9808,6.0334
2034,17.921,15.8668,6.8473
2035,20.1161,17.8103,7.686
2036,22.2462,19.6963,8.4999
2037,24.4413,21.6397,9.3386
2038,26.6225,23.5709,10.172
2039,28.8928,25.581,11.0394
2040,31.311,27.722,11.9634
2041,33.8481,29.9683,12.9327
2042,36.3831,32.2127,13.9013
2043,39.0974,34.6159,14.9384
2044,41.9856,37.173,16.0419
2045,44.781,39.648,17.11
2046,49.0673,43.443,18.7477
2047,53.2693,47.1633,20.3532
2048,56.6997,50.2006,21.6639
2049,60.6275,53.6781,23.1647
2050,65.9599,58.3993,25.2021
