t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.064,1.022
2026,4.0598,3.6905,1.231
2027,5.5012,5.0008,1.6681
2028,6.9894,6.3537,2.1193
2029,8.1212,7.3825,2.4625
2030,9.4004,8.5453,2.8503
2031,11.2802,10.2541,3.4203
2032,13.16,11.9629,3.9903
2033,15.0397,13.6716,4.5603
2034,16.9195,15.3804,5.1302
2035,18.8642,17.1482,5.7199
2036,20.744,18.857,6.2899
2037,22.6887,20.6248,6.8796
2038,24.6195,22.38,7.465
2039,26.6395,24.2162,8.0775
2040,28.8072,26.1868,8.7348
2041,30.9451,28.1302,9.383
2042,33.1584,30.1421,10.0541
2043,35.4802,32.2528,10.7581
2044,37.9691,34.5153,11.5128
2045,40.3653,36.6935,12.2394
2046,44.2523,40.227,13.418
2047,48.055,43.6837,14.571
2048,51.0862,46.4392,15.4901
2049,54.6147,49.6467,16.56
2050,59.5478,54.1311,18.0558
