*t,MW
2024,0.0
2025,0.0
2026,0.0
2027,0.0
2028,0.0
2029,0.0
2030,0.0
2031,10000.0
2032,20000.0
2033,30000.0
2034,40000.0
2035,50000.0
2036,60000.0
2037,70000.0
2038,80000.0
2039,90000.0
2040,100000.0
2041,120000.0
2042,140000.0
2043,160000.0
2044,180000.0
2045,200000.0
2046,220000.0
2047,240000.0
2048,260000.0
2049,281173.0
2050,303399.0
