t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.7579,2.0425
2026,4.0598,3.3217,2.4601
2027,5.5012,4.5011,3.3336
2028,6.9894,5.7188,4.2354
2029,8.1212,6.6449,4.9213
2030,9.4004,7.6915,5.6964
2031,12.2414,10.016,7.418
2032,15.0823,12.3404,9.1395
2033,17.9232,14.6649,10.8611
2034,20.7642,16.9894,12.5826
2035,23.6051,19.3139,14.3042
2036,26.4461,21.6383,16.0257
2037,29.3519,24.016,17.7866
2038,32.1929,26.3404,19.5081
2039,35.0988,28.7181,21.269
2040,37.9907,31.0843,23.0215
2041,41.4444,33.9101,25.1144
2042,45.0459,36.8569,27.2968
2043,48.7165,39.8602,29.5211
2044,52.3656,42.8459,31.7323
2045,56.2133,45.9941,34.064
2046,60.235,49.2847,36.501
2047,64.164,52.4994,38.8819
2048,69.5838,56.9339,42.1662
2049,74.9192,61.2994,45.3993
2050,79.4832,65.0337,48.165
