t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.8771,1.6454
2026,4.0598,3.4653,1.9818
2027,5.5012,4.6956,2.6854
2028,6.9894,5.9659,3.4118
2029,8.1212,6.9319,3.9643
2030,9.4004,8.0238,4.5887
2031,11.8673,10.1294,5.7929
2032,14.3341,12.235,6.9971
2033,16.801,14.3406,8.2012
2034,19.2678,16.4462,9.4054
2035,21.7347,18.5518,10.6096
2036,24.2665,20.7128,11.8454
2037,26.7333,22.8184,13.0496
2038,29.2651,24.9794,14.2855
2039,31.783,27.1286,15.5146
2040,34.39,29.3539,16.7872
2041,37.395,31.9188,18.254
2042,40.469,34.5426,19.7546
2043,43.5215,37.1481,21.2446
2044,46.7727,39.9232,22.8317
2045,50.1978,42.8467,24.5036
2046,53.5302,45.6911,26.1303
2047,58.3535,49.808,28.4847
2048,63.0923,53.8529,30.7979
2049,67.0597,57.2393,32.7346
2050,71.5245,61.0503,34.914
