t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.6083,2.5413
2026,4.0598,3.1415,3.0609
2027,5.5012,4.2569,4.1477
2028,6.9894,5.4085,5.2697
2029,8.1212,6.2843,6.123
2030,9.4004,7.2742,7.0875
2031,12.7111,9.8361,9.5836
2032,16.0218,12.3979,12.0797
2033,19.3326,14.9598,14.5758
2034,22.6433,17.5217,17.072
2035,25.954,20.0836,19.5681
2036,29.2647,22.6454,22.0642
2037,32.5754,25.2073,24.5603
2038,35.9511,27.8195,27.1054
2039,39.2618,30.3813,29.6015
2040,42.6375,32.9935,32.1466
2041,46.7511,36.1767,35.2481
2042,50.954,39.4289,38.4169
2043,55.3046,42.7955,41.6971
2044,59.7244,46.2156,45.0294
2045,64.1225,49.6189,48.3454
2046,68.7195,53.1761,51.8112
2047,73.4903,56.8678,55.4082
2048,78.1684,60.4878,58.9353
2049,84.3374,65.2614,63.5864
2050,90.4219,69.9698,68.1739
