t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.7128,2.1927
2026,4.0598,3.2675,2.641
2027,5.5012,4.4276,3.5787
2028,6.9894,5.6254,4.5469
2029,8.1212,6.5363,5.2832
2030,9.4004,7.5658,6.1153
2031,12.3828,9.9662,8.0555
2032,15.3652,12.3665,9.9957
2033,18.3476,14.7669,11.9358
2034,21.33,17.1672,13.876
2035,24.3124,19.5676,15.8162
2036,27.2948,21.9679,17.7563
2037,30.3422,24.4206,19.7387
2038,33.3246,26.8209,21.6789
2039,36.372,29.2736,23.6613
2040,39.4054,31.715,25.6347
2041,43.0847,34.6762,28.0282
2042,46.9118,37.7564,30.5179
2043,50.808,40.8922,33.0525
2044,54.6826,44.0107,35.5731
2045,58.756,47.2891,38.223
2046,63.0032,50.7074,40.986
2047,67.1578,54.0512,43.6887
2048,72.8032,58.5948,47.3612
2049,78.3642,63.0705,50.9789
2050,83.1538,66.9254,54.0947
