t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.0719,0.9958
2026,4.0598,3.7,1.1994
2027,5.5012,5.0136,1.6252
2028,6.9894,6.37,2.0649
2029,8.1212,7.4014,2.3993
2030,9.4004,8.5673,2.7772
2031,11.2555,10.2579,3.3253
2032,13.1106,11.9486,3.8733
2033,14.9656,13.6392,4.4214
2034,16.8207,15.3299,4.9694
2035,18.7407,17.0797,5.5367
2036,20.5958,18.7704,6.0847
2037,22.5158,20.5202,6.6519
2038,24.4219,22.2573,7.2151
2039,26.4172,24.0758,7.8045
2040,28.5602,26.0289,8.4377
2041,30.6587,27.9414,9.0576
2042,32.8402,29.9296,9.7021
2043,35.1303,32.0167,10.3787
2044,37.5799,34.2491,11.1024
2045,39.9366,36.397,11.7987
2046,43.7843,39.9037,12.9354
2047,47.5475,43.3334,14.0472
2048,50.5394,46.06,14.9311
2049,54.0285,49.24,15.9619
2050,58.9222,53.6999,17.4077
