t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.0387,1.1065
2026,4.0598,3.66,1.3327
2027,5.5012,4.9595,1.8059
2028,6.9894,6.3011,2.2944
2029,8.1212,7.3215,2.6659
2030,9.4004,8.4747,3.0858
2031,11.3597,10.241,3.729
2032,13.319,12.0074,4.3722
2033,15.2783,13.7737,5.0153
2034,17.2376,15.54,5.6585
2035,19.2618,17.3649,6.323
2036,21.2211,19.1313,6.9662
2037,23.2454,20.9562,7.6307
2038,25.2557,22.7685,8.2906
2039,27.3552,24.6613,8.9798
2040,29.6025,26.6873,9.7175
2041,31.8672,28.7289,10.4609
2042,34.1827,30.8164,11.221
2043,36.6245,33.0177,12.0226
2044,39.2402,35.3759,12.8812
2045,41.7632,37.6504,13.7095
2046,45.7771,41.269,15.0271
2047,49.7066,44.8115,16.317
2048,52.8646,47.6585,17.3537
2049,56.52,50.9539,18.5536
2050,61.5799,55.5155,20.2146
