t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.7949,1.9191
2026,4.0598,3.3664,2.3114
2027,5.5012,4.5616,3.1321
2028,6.9894,5.7956,3.9794
2029,8.1212,6.7341,4.6238
2030,9.4004,7.7948,5.3521
2031,12.1251,10.0541,6.9033
2032,14.8497,12.3133,8.4546
2033,17.5743,14.5726,10.0059
2034,20.299,16.8319,11.5571
2035,23.0236,19.0911,13.1084
2036,25.7483,21.3504,14.6597
2037,28.5379,23.6635,16.2479
2038,31.2625,25.9228,17.7992
2039,34.0521,28.2359,19.3874
2040,36.8278,30.5375,20.9677
2041,40.096,33.2475,22.8285
2042,43.5121,36.0801,24.7734
2043,46.9972,38.9699,26.7576
2044,50.4608,41.8419,28.7296
2045,54.1231,44.8787,30.8147
2046,57.9593,48.0597,32.9989
2047,61.7028,51.1638,35.1302
2048,66.9372,55.5041,38.1104
2049,72.0872,59.7744,41.0425
2050,76.4657,63.4051,43.5354
