t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.1975,0.5772
2026,4.0598,3.8512,0.6952
2027,5.5012,5.2186,0.942
2028,6.9894,6.6304,1.1969
2029,8.1212,7.704,1.3907
2030,9.4004,8.9175,1.6097
2031,10.9467,10.3844,1.8745
2032,12.493,11.8512,2.1393
2033,14.0393,13.3181,2.4041
2034,15.5856,14.7849,2.6688
2035,17.1318,16.2518,2.9336
2036,18.6781,17.7186,3.1984
2037,20.2754,19.2339,3.4719
2038,21.8764,20.7526,3.7461
2039,23.6315,22.4176,4.0466
2040,25.4494,24.1421,4.3579
2041,27.1244,25.7309,4.6447
2042,28.9078,27.4228,4.9501
2043,30.7286,29.15,5.2619
2044,32.4566,30.7893,5.5578
2045,35.6755,33.8428,6.109
2046,38.81,36.8163,6.6457
2047,41.1731,39.0579,7.0504
2048,44.0335,41.7714,7.5402
2049,48.2984,45.8172,8.2705
2050,52.7362,50.0271,9.0304
