t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.9432,1.4249
2026,4.0598,3.5449,1.7163
2027,5.5012,4.8035,2.3256
2028,6.9894,6.103,2.9548
2029,8.1212,7.0913,3.4333
2030,9.4004,8.2082,3.974
2031,11.6597,10.1809,4.9291
2032,13.9189,12.1537,5.8842
2033,16.1782,14.1264,6.8393
2034,18.4374,16.0991,7.7945
2035,20.6967,18.0718,8.7496
2036,23.0209,20.1013,9.7321
2037,25.2802,22.074,10.6872
2038,27.6044,24.1034,11.6698
2039,29.9146,26.1207,12.6464
2040,32.3141,28.2159,13.6608
2041,34.988,30.5506,14.7912
2042,37.731,32.9458,15.9508
2043,40.4524,35.322,17.1013
2044,43.3726,37.8719,18.3358
2045,46.4667,40.5735,19.6438
2046,49.468,43.1942,20.9127
2047,53.9602,47.1167,22.8118
2048,58.368,50.9655,24.6752
2049,62.0044,54.1407,26.2124
2050,66.1381,57.7501,27.96
