t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.19,0.6022
2026,4.0598,3.8422,0.7253
2027,5.5012,5.2064,0.9828
2028,6.9894,6.6148,1.2487
2029,8.1212,7.686,1.4509
2030,9.4004,8.8966,1.6794
2031,10.9646,10.377,1.9589
2032,12.5288,11.8573,2.2384
2033,14.093,13.3377,2.5178
2034,15.6573,14.8181,2.7973
2035,17.2215,16.2984,3.0767
2036,18.7857,17.7788,3.3562
2037,20.4009,19.3075,3.6447
2038,22.0255,20.845,3.935
2039,23.7985,22.523,4.2517
2040,25.6399,24.2657,4.5807
2041,27.3451,25.8795,4.8854
2042,29.1588,27.596,5.2094
2043,31.0172,29.3547,5.5414
2044,32.7827,31.0257,5.8568
2045,36.0392,34.1076,6.4386
2046,39.2112,37.1096,7.0053
2047,41.6118,39.3816,7.4342
2048,44.5098,42.1242,7.952
2049,48.8123,46.1961,8.7206
2050,53.2876,50.4316,9.5202
