t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.696,2.249
2026,4.0598,3.2471,2.7088
2027,5.5012,4.4,3.6706
2028,6.9894,5.5904,4.6636
2029,8.1212,6.4956,5.4188
2030,9.4004,7.5187,6.2723
2031,12.4358,9.9465,8.2976
2032,15.4712,12.3744,10.3229
2033,18.5066,14.8022,12.3483
2034,21.5421,17.23,14.3736
2035,24.5775,19.6578,16.3989
2036,27.6129,22.0856,18.4242
2037,30.7132,24.5654,20.4929
2038,33.7486,26.9932,22.5182
2039,36.849,29.4729,24.5869
2040,39.9354,31.9415,26.6463
2041,43.6993,34.952,29.1576
2042,47.6109,38.0806,31.7676
2043,51.5916,41.2645,34.4237
2044,55.5507,44.4311,37.0653
2045,59.7086,47.7568,39.8396
2046,64.0404,51.2215,42.7299
2047,68.2795,54.612,45.5584
2048,74.0094,59.195,49.3816
2049,79.655,63.7104,53.1485
2050,84.5291,67.6089,56.4006
