t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,3.1258,0.8162
2026,4.0598,3.7649,0.9831
2027,5.5012,5.1016,1.3321
2028,6.9894,6.4817,1.6925
2029,8.1212,7.5313,1.9666
2030,9.4004,8.7175,2.2763
2031,11.118,10.3104,2.6922
2032,12.8357,11.9032,3.1082
2033,14.5533,13.496,3.5241
2034,16.3041,15.1197,3.9481
2035,18.0217,16.7125,4.364
2036,19.7726,18.3362,4.788
2037,21.5412,19.9764,5.2162
2038,23.3674,21.6698,5.6584
2039,25.3413,23.5004,6.1364
2040,27.3843,25.395,6.6311
2041,29.3485,27.2165,7.1068
2042,31.4213,29.1386,7.6087
2043,33.601,31.1601,8.1365
2044,35.688,33.0955,8.6419
2045,39.266,36.4135,9.5083
2046,42.7594,39.6532,10.3542
2047,45.4815,42.1775,11.0134
2048,48.7009,45.163,11.793
2049,53.3248,49.451,12.9127
2050,58.1217,53.8994,14.0742
