t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.5695,2.6704
2026,4.0598,3.0949,3.2164
2027,5.5012,4.1937,4.3584
2028,6.9894,5.3282,5.5374
2029,8.1212,6.191,6.4341
2030,9.4004,7.1662,7.4475
2031,12.8327,9.7827,10.1668
2032,16.265,12.3992,12.886
2033,19.6973,15.0158,15.6053
2034,23.1297,17.6323,18.3246
2035,26.562,20.2488,21.0438
2036,29.9943,22.8653,23.7631
2037,33.4266,25.4819,26.4824
2038,36.9238,28.1479,29.2531
2039,40.3562,30.7645,31.9723
2040,43.8534,33.4305,34.7431
2041,48.161,36.7142,38.1557
2042,52.5577,40.066,41.6391
2043,57.1023,43.5304,45.2395
2044,61.716,47.0475,48.8947
2045,66.308,50.5482,52.5328
2046,71.0989,54.2003,56.3284
2047,76.0636,57.9851,60.2617
2048,80.9356,61.6991,64.1216
2049,87.2985,66.5497,69.1626
2050,93.5769,71.3359,74.1367
