t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.851,1.7322
2026,4.0598,3.4339,2.0863
2027,5.5012,4.6531,2.8271
2028,6.9894,5.9119,3.5919
2029,8.1212,6.8692,4.1735
2030,9.4004,7.9512,4.8309
2031,11.949,10.1069,6.1406
2032,14.4977,12.2626,7.4503
2033,17.0463,14.4183,8.7601
2034,19.5949,16.574,10.0698
2035,22.1435,18.7297,11.3795
2036,24.7571,20.9403,12.7226
2037,27.3057,23.096,14.0324
2038,29.9193,25.3066,15.3755
2039,32.5189,27.5055,16.7114
2040,35.2078,29.7798,18.0932
2041,38.3431,32.4317,19.7045
2042,41.5475,35.1422,21.3512
2043,44.7304,37.8343,22.9869
2044,48.112,40.6946,24.7247
2045,51.6675,43.702,26.5519
2046,55.1303,46.6309,28.3314
2047,60.084,50.8209,30.8771
2048,64.9532,54.9394,33.3794
2049,69.0511,58.4055,35.4852
2050,73.6462,62.2922,37.8467
