t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.6914,2.2643
2026,4.0598,3.2416,2.7273
2027,5.5012,4.3925,3.6956
2028,6.9894,5.5809,4.6953
2029,8.1212,6.4846,5.4556
2030,9.4004,7.5059,6.3149
2031,12.4502,9.9411,8.3637
2032,15.5,12.3763,10.4125
2033,18.5499,14.8115,12.4613
2034,21.5997,17.2467,14.51
2035,24.6495,19.6818,16.5588
2036,27.6993,22.117,18.6076
2037,30.8141,24.6041,20.7
2038,33.8639,27.0393,22.7488
2039,36.9787,29.5263,24.8412
2040,40.0795,32.0022,26.9243
2041,43.8663,35.0259,29.4681
2042,47.8009,38.1675,32.1113
2043,51.8046,41.3643,34.8008
2044,55.7867,44.5439,37.4759
2045,59.9676,47.8822,40.2845
2046,64.3223,51.3594,43.2099
2047,68.5844,54.7625,46.073
2048,74.3373,59.356,49.9377
2049,80.0058,63.8821,53.7456
2050,84.9029,67.7923,57.0353
