t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.9278,1.476
2026,4.0598,3.5264,1.7778
2027,5.5012,4.7785,2.409
2028,6.9894,6.0712,3.0607
2029,8.1212,7.0543,3.5564
2030,9.4004,8.1655,4.1165
2031,11.7078,10.1697,5.1269
2032,14.0152,12.174,6.1374
2033,16.3225,14.1782,7.1478
2034,18.6299,16.1825,8.1582
2035,20.9373,18.1867,9.1686
2036,23.3096,20.2474,10.2075
2037,25.617,22.2516,11.2179
2038,27.9893,24.3123,12.2567
2039,30.3477,26.3608,13.2895
2040,32.7953,28.4869,14.3613
2041,35.5459,30.8762,15.5658
2042,38.3657,33.3255,16.8006
2043,41.1638,35.756,18.026
2044,44.1607,38.3592,19.3383
2045,47.3315,41.1135,20.7269
2046,50.4096,43.7872,22.0748
2047,54.9786,47.7559,24.0756
2048,59.4631,51.6513,26.0394
2049,63.1762,54.8766,27.6654
2050,67.3866,58.5339,29.5092
