t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.6978,2.2429
2026,4.0598,3.2493,2.7015
2027,5.5012,4.403,3.6606
2028,6.9894,5.5942,4.651
2029,8.1212,6.5,5.4041
2030,9.4004,7.5238,6.2553
2031,12.4301,9.9487,8.2713
2032,15.4598,12.3736,10.2873
2033,18.4894,14.7984,12.3033
2034,21.5191,17.2233,14.3194
2035,24.5488,19.6482,16.3354
2036,27.5784,22.073,18.3514
2037,30.6731,24.5499,20.4107
2038,33.7027,26.9747,22.4267
2039,36.7974,29.4516,24.4859
2040,39.878,31.9173,26.5359
2041,43.6327,34.9224,29.0344
2042,47.5352,38.0458,31.6312
2043,51.5068,41.2246,34.274
2044,55.4567,44.386,36.9024
2045,59.6055,47.7066,39.6631
2046,63.9281,51.1663,42.5395
2047,68.1581,54.5518,45.3542
2048,73.8789,59.1306,49.1609
2049,79.5152,63.6418,52.9115
2050,84.3802,67.5355,56.1488
