t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.6478,2.4096
2026,4.0598,3.1891,2.9022
2027,5.5012,4.3214,3.9327
2028,6.9894,5.4905,4.9965
2029,8.1212,6.3795,5.8056
2030,9.4004,7.3844,6.7201
2031,12.5871,9.8876,8.9981
2032,15.7737,12.3909,11.2762
2033,18.9603,14.8941,13.5542
2034,22.147,17.3973,15.8322
2035,25.3336,19.9005,18.1103
2036,28.5203,22.4038,20.3883
2037,31.7069,24.907,22.6663
2038,34.9585,27.4613,24.9908
2039,38.1451,29.9645,27.2688
2040,41.3967,32.5187,29.5933
2041,45.3125,35.5947,32.3926
2042,49.3175,38.7408,35.2556
2043,53.4703,42.003,38.2243
2044,57.6922,45.3195,41.2425
2045,61.8925,48.619,44.2451
2046,66.2916,52.0746,47.3899
2047,70.8645,55.6668,50.659
2048,75.3448,59.1863,53.8618
2049,81.3159,63.8768,58.1303
2050,87.2026,68.501,62.3385
