t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.6143,2.5211
2026,4.0598,3.1488,3.0366
2027,5.5012,4.2668,4.1147
2028,6.9894,5.4211,5.2278
2029,8.1212,6.2989,6.0744
2030,9.4004,7.2911,7.0311
2031,12.6921,9.8441,9.4932
2032,15.9838,12.3972,11.9553
2033,19.2755,14.9503,14.4173
2034,22.5672,17.5034,16.8794
2035,25.8589,20.0564,19.3414
2036,29.1506,22.6095,21.8035
2037,32.4423,25.1626,24.2655
2038,35.7989,27.766,26.7762
2039,39.0906,30.3191,29.2382
2040,42.4472,32.9226,31.7489
2041,46.5306,36.0896,34.803
2042,50.7031,39.3259,37.9239
2043,55.0234,42.6768,41.1553
2044,59.4128,46.0813,44.4385
2045,63.7806,49.469,47.7054
2046,68.3472,53.0109,51.1211
2047,73.0877,56.6877,54.6668
2048,77.7355,60.2926,58.1431
2049,83.8741,65.0537,62.7346
2050,89.9283,69.7495,67.2629
