t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.9493,1.4046
2026,4.0598,3.5523,1.6917
2027,5.5012,4.8135,2.2924
2028,6.9894,6.1157,2.9125
2029,8.1212,7.106,3.3841
2030,9.4004,8.2253,3.9172
2031,11.6405,10.1853,4.8506
2032,13.8805,12.1453,5.784
2033,16.1206,14.1053,6.7174
2034,18.3606,16.0653,7.6509
2035,20.6656,18.0822,8.6114
2036,22.9056,20.0422,9.5448
2037,25.2106,22.0591,10.5053
2038,27.5017,24.0637,11.46
2039,29.882,26.1464,12.4518
2040,32.41,28.3584,13.5053
2041,35.1224,30.7317,14.6355
2042,37.8132,33.0861,15.7568
2043,40.7027,35.6145,16.9608
2044,43.7662,38.2949,18.2374
2045,46.7369,40.8943,19.4753
2046,51.1985,44.7981,21.3344
2047,55.5756,48.6281,23.1584
2048,59.1814,51.7831,24.6609
2049,63.2844,55.3732,26.3706
2050,68.792,60.1923,28.6657
