t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.9635,1.3572
2026,4.0598,3.5694,1.6347
2027,5.5012,4.8367,2.2151
2028,6.9894,6.1451,2.8144
2029,8.1212,7.1402,3.2701
2030,9.4004,8.2648,3.7852
2031,11.5959,10.1951,4.6693
2032,13.7914,12.1254,5.5533
2033,15.9869,14.0557,6.4374
2034,18.1824,15.986,7.3214
2035,20.4428,17.9733,8.2316
2036,22.6383,19.9036,9.1157
2037,24.8987,21.891,10.0259
2038,27.1452,23.8661,10.9304
2039,29.481,25.9197,11.8709
2040,31.9644,28.1032,12.871
2041,34.6058,30.4254,13.9345
2042,37.2255,32.7287,14.9894
2043,40.044,35.2067,16.1243
2044,43.0364,37.8376,17.3292
2045,45.936,40.387,18.4968
2046,50.3265,44.2471,20.2647
2047,54.6327,48.0331,21.9987
2048,58.1673,51.1408,23.422
2049,62.1994,54.6857,25.0455
2050,67.6359,59.4655,27.2346
