t,foreign_units_cum,foreign_units_cum_large,foreign_units_cum_smr
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,3.3707,2.8011,1.8987
2026,4.0598,3.3737,2.2869
2027,5.5012,4.5716,3.0988
2028,6.9894,5.8083,3.9371
2029,8.1212,6.7488,4.5747
2030,9.4004,7.8119,5.2952
2031,12.1059,10.0601,6.8192
2032,14.8113,12.3084,8.3431
2033,17.5167,14.5566,9.8671
2034,20.2222,16.8049,11.3911
2035,22.9276,19.0531,12.915
2036,25.6331,21.3014,14.439
2037,28.4034,23.6036,15.9995
2038,31.1089,25.8518,17.5235
2039,33.8793,28.1541,19.084
2040,36.6357,30.4447,20.6367
2041,39.8734,33.1352,22.4605
2042,43.2588,35.9485,24.3675
2043,46.7133,38.8193,26.3134
2044,50.1462,41.6721,28.2471
2045,53.7779,44.6901,30.2929
2046,57.5835,47.8526,32.4365
2047,61.2964,50.938,34.528
2048,66.5001,55.2624,37.4592
2049,71.6195,59.5166,40.3429
2050,75.9674,63.1297,42.7921
